127.0.0.1 - - [22/Jan/2024:18:02:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:02:42 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:02:44 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:03:09 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 500 2119
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:03:38 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:04:15 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:04:36 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:05:42 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:05:57 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:06:23 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:06:27 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:06:28 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:06:28 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [22/Jan/2024:18:06:28 +0530] "GET /JSP_Expression/JSPExpression.jsp HTTP/1.1" 200 175
